Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,48750.0,49000.0,48650.0,48950.0,48950.0,720498
2019-09-30,48950.0,49000.0,48850.0,48900.0,48900.0,593880
2019-09-30,48900.0,49250.0,48900.0,49050.0,49050.0,1430077
2019-10-01,48900.0,49100.0,48750.0,49000.0,49000.0,0
2019-10-01,49000.0,49050.0,48800.0,48900.0,48900.0,1094144
2019-10-01,48900.0,48900.0,48650.0,48650.0,48650.0,670730
2019-10-01,48650.0,48850.0,48650.0,48850.0,48850.0,437080
2019-10-01,48850.0,49000.0,48800.0,48900.0,48900.0,484124
2019-10-01,48950.0,48950.0,48750.0,48850.0,48850.0,761416
2019-10-02,48350.0,48400.0,47900.0,48000.0,48000.0,0
2019-10-02,48000.0,48200.0,47950.0,48150.0,48150.0,889222
2019-10-02,48150.0,48200.0,47950.0,48000.0,48000.0,952472
2019-10-02,48000.0,48150.0,47950.0,48050.0,48050.0,811962
2019-10-02,48050.0,48100.0,47950.0,48000.0,48000.0,560716
2019-10-02,47950.0,48050.0,47650.0,47800.0,47800.0,1347806
2019-10-04,47400.0,48050.0,47350.0,47750.0,47750.0,0
2019-10-04,47750.0,48150.0,47750.0,48150.0,48150.0,1165757
2019-10-04,48100.0,48250.0,48100.0,48150.0,48150.0,677175
2019-10-04,48100.0,48200.0,48100.0,48200.0,48200.0,445382
2019-10-04,48200.0,48450.0,48150.0,48300.0,48300.0,839320
2019-10-04,48350.0,48650.0,48300.0,48450.0,48450.0,1408681
2019-10-07,48350.0,48700.0,47900.0,47900.0,47900.0,0
2019-10-07,47900.0,48200.0,47650.0,48200.0,48200.0,1184997
2019-10-07,48150.0,48200.0,47900.0,48050.0,48050.0,587080
2019-10-07,48000.0,48150.0,47950.0,48100.0,48100.0,387483
2019-10-07,48100.0,48150.0,48050.0,48150.0,48150.0,359932
2019-10-07,48100.0,48150.0,47900.0,48000.0,48000.0,777496
2019-10-08,47900.0,48400.0,47600.0,48150.0,48150.0,0
2019-10-08,48100.0,48450.0,48100.0,48250.0,48250.0,1599525
2019-10-08,48200.0,48450.0,48200.0,48400.0,48400.0,879568
2019-10-08,48450.0,48450.0,48300.0,48350.0,48350.0,721587
2019-10-08,48350.0,48400.0,48200.0,48300.0,48300.0,944354
2019-10-08,48300.0,48700.0,48200.0,48700.0,48700.0,2172667
2019-10-10,48200.0,48700.0,48000.0,48200.0,48200.0,0
2019-10-10,48200.0,48650.0,48150.0,48600.0,48600.0,2114671
2019-10-10,48550.0,48800.0,48500.0,48700.0,48700.0,1215149
2019-10-10,48700.0,48700.0,48450.0,48500.0,48500.0,1036532
2019-10-10,48500.0,48600.0,48350.0,48600.0,48600.0,1400358
2019-10-10,48600.0,49200.0,48550.0,49050.0,49050.0,2630731
2019-10-11,49000.0,49200.0,48800.0,48900.0,48900.0,0
2019-10-11,48900.0,49200.0,48800.0,49150.0,49150.0,1067192
2019-10-11,49150.0,49200.0,49000.0,49150.0,49150.0,541987
2019-10-11,49100.0,49300.0,49100.0,49300.0,49300.0,901595
2019-10-11,49300.0,49300.0,49200.0,49300.0,49300.0,653030
2019-10-11,49300.0,49450.0,49250.0,49400.0,49400.0,1452597
2019-10-14,50000.0,50300.0,49850.0,50300.0,50300.0,0
2019-10-14,50300.0,50300.0,50100.0,50300.0,50300.0,1231868
2019-10-14,50200.0,50300.0,50100.0,50200.0,50200.0,986788
2019-10-14,50200.0,50200.0,50100.0,50200.0,50200.0,582098
2019-10-14,50200.0,50200.0,50100.0,50200.0,50200.0,800626
2019-10-14,50200.0,50200.0,49900.0,49900.0,49900.0,2418355
2019-10-15,49900.0,50200.0,49900.0,50000.0,50000.0,0
2019-10-15,50100.0,50200.0,50000.0,50200.0,50200.0,1050888
2019-10-15,50100.0,50200.0,50100.0,50100.0,50100.0,324909
2019-10-15,50100.0,50200.0,50000.0,50200.0,50200.0,548447
2019-10-15,50100.0,50200.0,50100.0,50200.0,50200.0,580374
2019-10-15,50100.0,50200.0,50000.0,50100.0,50100.0,588470
2019-10-16,50700.0,50900.0,50400.0,50500.0,50500.0,0
2019-10-16,50600.0,50700.0,50500.0,50700.0,50700.0,871962
2019-10-16,50700.0,50800.0,50600.0,50800.0,50800.0,1164601
2019-10-16,50700.0,50800.0,50600.0,50700.0,50700.0,848736
2019-10-16,50700.0,50700.0,50500.0,50500.0,50500.0,680461
2019-10-16,50500.0,50700.0,50500.0,50500.0,50500.0,940157
2019-10-17,50500.0,50600.0,50300.0,50300.0,50300.0,0
2019-10-17,50400.0,50400.0,50200.0,50400.0,50400.0,761499
2019-10-17,50400.0,50400.0,50200.0,50300.0,50300.0,468406
2019-10-17,50200.0,50400.0,50200.0,50200.0,50200.0,445212
2019-10-17,50300.0,50300.0,50100.0,50100.0,50100.0,538244
2019-10-17,50100.0,50300.0,50100.0,50300.0,50300.0,771238
2019-10-18,50300.0,50700.0,50300.0,50500.0,50500.0,0
2019-10-18,50600.0,50800.0,50500.0,50700.0,50700.0,1135320
2019-10-18,50800.0,50900.0,50500.0,50500.0,50500.0,981659
2019-10-18,50500.0,50700.0,50400.0,50400.0,50400.0,792501
2019-10-18,50400.0,50500.0,50000.0,50300.0,50300.0,1464973
2019-10-18,50200.0,50300.0,49650.0,49700.0,49700.0,1374438
2019-10-21,49900.0,50100.0,49800.0,49950.0,49950.0,0
2019-10-21,49950.0,50100.0,49950.0,50100.0,50100.0,405142
2019-10-21,50100.0,50300.0,50000.0,50100.0,50100.0,565166
2019-10-21,50200.0,50400.0,50100.0,50300.0,50300.0,287715
2019-10-21,50300.0,50300.0,50200.0,50200.0,50200.0,271127
2019-10-21,50200.0,50300.0,50200.0,50200.0,50200.0,473378
2019-10-22,50800.0,50900.0,50700.0,50800.0,50800.0,0
2019-10-22,50900.0,51100.0,50800.0,50900.0,50900.0,2061395
2019-10-22,51000.0,51200.0,50900.0,51100.0,51100.0,1214437
2019-10-22,51100.0,51500.0,51100.0,51300.0,51300.0,1988102
2019-10-22,51400.0,51400.0,51200.0,51400.0,51400.0,1044021
2019-10-22,51400.0,51400.0,51100.0,51200.0,51200.0,1600186
2019-10-23,51300.0,51400.0,50800.0,51300.0,51300.0,0
2019-10-23,51200.0,51500.0,51200.0,51300.0,51300.0,983400
2019-10-23,51200.0,51400.0,51000.0,51100.0,51100.0,1050729
2019-10-23,51100.0,51100.0,51000.0,51000.0,51000.0,402842
2019-10-23,51100.0,51200.0,51000.0,51100.0,51100.0,634068
2019-10-23,51100.0,51200.0,51000.0,51000.0,51000.0,751115
2019-10-24,52500.0,52500.0,51000.0,51200.0,51200.0,0
2019-10-24,51200.0,51200.0,50500.0,50900.0,50900.0,1492799
2019-10-24,50800.0,51000.0,50700.0,50700.0,50700.0,878570
2019-10-24,50700.0,50900.0,50700.0,50800.0,50800.0,733241
2019-10-24,50700.0,50900.0,50700.0,50800.0,50800.0,985514
2019-10-24,50700.0,51000.0,50700.0,50900.0,50900.0,1316239
2019-10-25,50800.0,51200.0,50800.0,51000.0,51000.0,0
2019-10-25,50900.0,51000.0,50800.0,50800.0,50800.0,668295
2019-10-25,50800.0,50900.0,50800.0,50900.0,50900.0,424012
2019-10-25,50900.0,50900.0,50800.0,50900.0,50900.0,480552
2019-10-25,50800.0,50900.0,50500.0,50700.0,50700.0,1206365
2019-10-25,50700.0,51000.0,50600.0,50800.0,50800.0,1364317
2019-10-28,50700.0,51500.0,50700.0,51200.0,51200.0,0
2019-10-28,51200.0,51300.0,51100.0,51200.0,51200.0,729302
2019-10-28,51300.0,51400.0,51200.0,51300.0,51300.0,644467
2019-10-28,51300.0,51400.0,51300.0,51400.0,51400.0,280668
2019-10-28,51400.0,51400.0,51300.0,51400.0,51400.0,349636
2019-10-28,51400.0,51500.0,51300.0,51500.0,51500.0,910349
2019-10-29,51400.0,51700.0,51100.0,51300.0,51300.0,0
2019-10-29,51300.0,51300.0,51000.0,51200.0,51200.0,751312
2019-10-29,51200.0,51200.0,50900.0,51000.0,51000.0,795639
2019-10-29,51000.0,51000.0,50800.0,50900.0,50900.0,450332
2019-10-29,50900.0,51000.0,50800.0,51000.0,51000.0,494132
2019-10-29,50900.0,51000.0,50900.0,50900.0,50900.0,775469
2019-10-30,50700.0,50800.0,50200.0,50300.0,50300.0,0
2019-10-30,50300.0,50500.0,50300.0,50300.0,50300.0,815053
2019-10-30,50400.0,50800.0,50300.0,50500.0,50500.0,1053059
2019-10-30,50500.0,50700.0,50400.0,50400.0,50400.0,456688
2019-10-30,50400.0,50500.0,50300.0,50400.0,50400.0,728412
2019-10-30,50400.0,50500.0,50300.0,50300.0,50300.0,1117539
2019-10-31,51000.0,51400.0,50900.0,51400.0,51400.0,0
2019-10-31,51400.0,51400.0,51100.0,51300.0,51300.0,1072320
2019-10-31,51400.0,51400.0,51300.0,51300.0,51300.0,656762
2019-10-31,51300.0,51400.0,51200.0,51300.0,51300.0,1095545
2019-10-31,51300.0,51300.0,51000.0,51100.0,51100.0,1025536
2019-10-31,51200.0,51200.0,50600.0,50700.0,50700.0,1342134
2019-11-01,50600.0,50900.0,50400.0,50800.0,50800.0,0
2019-11-01,50700.0,51000.0,50700.0,51000.0,51000.0,899365
2019-11-01,50900.0,51000.0,50800.0,50900.0,50900.0,597172
2019-11-01,50900.0,51000.0,50800.0,50900.0,50900.0,552530
2019-11-01,50900.0,50900.0,50800.0,50800.0,50800.0,341449
2019-11-01,50800.0,51200.0,50600.0,51100.0,51100.0,1478431
2019-11-04,51700.0,52200.0,51400.0,51900.0,51900.0,0
2019-11-04,51900.0,52200.0,51900.0,52100.0,52100.0,2260939
2019-11-04,52000.0,52200.0,52000.0,52100.0,52100.0,1319967
2019-11-04,52100.0,52200.0,52000.0,52100.0,52100.0,1052776
2019-11-04,52000.0,52200.0,52000.0,52100.0,52100.0,954876
2019-11-04,52200.0,52300.0,52100.0,52200.0,52200.0,1555711
2019-11-05,52400.0,52400.0,52100.0,52200.0,52200.0,0
2019-11-05,52200.0,52400.0,52200.0,52400.0,52400.0,889077
2019-11-05,52400.0,52400.0,52300.0,52400.0,52400.0,514631
2019-11-05,52400.0,52500.0,52300.0,52500.0,52500.0,729762
2019-11-05,52400.0,52700.0,52400.0,52600.0,52600.0,1737662
2019-11-05,52500.0,52700.0,52500.0,52700.0,52700.0,1528721
2019-11-06,52900.0,53500.0,52700.0,53300.0,53300.0,0
2019-11-06,53300.0,53400.0,52800.0,53100.0,53100.0,2595537
2019-11-06,53000.0,53100.0,52800.0,52800.0,52800.0,929918
2019-11-06,52900.0,53000.0,52800.0,52900.0,52900.0,571479
2019-11-06,52900.0,53100.0,52900.0,53100.0,53100.0,996164
2019-11-06,53000.0,53300.0,53000.0,53300.0,53300.0,1817710
2019-11-07,53400.0,53400.0,52400.0,52700.0,52700.0,0
2019-11-07,52800.0,52900.0,52500.0,52500.0,52500.0,1165872
2019-11-07,52500.0,52900.0,52500.0,52800.0,52800.0,697703
2019-11-07,52800.0,52900.0,52700.0,52800.0,52800.0,781664
2019-11-07,52900.0,52900.0,52600.0,52600.0,52600.0,700605
2019-11-07,52600.0,52800.0,52600.0,52600.0,52600.0,1401084
2019-11-08,53200.0,53300.0,52800.0,52900.0,52900.0,0
2019-11-08,52900.0,52900.0,52500.0,52700.0,52700.0,1398489
2019-11-08,52800.0,52800.0,52500.0,52700.0,52700.0,1043136
2019-11-08,52600.0,52700.0,52400.0,52400.0,52400.0,601225
2019-11-08,52400.0,52500.0,52200.0,52300.0,52300.0,1424469
2019-11-08,52200.0,52300.0,52000.0,52100.0,52100.0,1637338
2019-11-11,52200.0,52200.0,51600.0,51700.0,51700.0,0
2019-11-11,51700.0,51800.0,51400.0,51700.0,51700.0,949603
2019-11-11,51700.0,51700.0,51500.0,51600.0,51600.0,869713
2019-11-11,51500.0,51700.0,51500.0,51600.0,51600.0,581703
2019-11-11,51600.0,51900.0,51600.0,51800.0,51800.0,886956
2019-11-11,51900.0,52100.0,51800.0,52100.0,52100.0,1385911
2019-11-12,51800.0,52100.0,51600.0,52100.0,52100.0,0
2019-11-12,52100.0,52200.0,51900.0,52000.0,52000.0,962343
2019-11-12,52000.0,52200.0,51900.0,52200.0,52200.0,751109
2019-11-12,52100.0,52200.0,52000.0,52100.0,52100.0,462107
2019-11-12,52100.0,52200.0,52000.0,52100.0,52100.0,462321
2019-11-12,52100.0,52500.0,52100.0,52400.0,52400.0,1047071
